constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
lotus-f1,pastor-maldonado,13,renault,+2.796,+0.341,26,12,14-singapore,1:53.213,pirelli,2014
williams,felipe-massa,19,mercedes,+2.866,+0.070,27,13,14-singapore,1:53.283,pirelli,2014
marussia,jules-bianchi,17,ferrari,+3.121,+0.255,47,14,14-singapore,1:53.538,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+3.126,+0.005,25,15,14-singapore,1:53.543,pirelli,2014
mclaren,jenson-button,22,mercedes,+3.290,+0.164,16,16,14-singapore,1:53.707,pirelli,2014
marussia,max-chilton,4,ferrari,+3.390,+0.100,43,17,14-singapore,1:53.807,pirelli,2014
sauber,adrian-sutil,99,ferrari,+3.531,+0.141,10,18,14-singapore,1:53.948,pirelli,2014
caterham,marcus-ericsson,9,renault,+4.999,+1.468,14,19,14-singapore,1:55.416,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+5.267,+0.268,6,20,14-singapore,1:55.684,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+6.352,+1.085,5,21,14-singapore,1:56.769,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,39,1,15-japan,1:51.600,pirelli,2014
mclaren,jenson-button,22,mercedes,+0.121,+0.121,33,2,15-japan,1:51.721,pirelli,2014
red-bull,sebastian-vettel,1,renault,+0.315,+0.194,32,3,15-japan,1:51.915,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.631,+0.316,38,4,15-japan,1:52.231,pirelli,2014
